session_id,browserstack:browser,browserstack:browser_version,browserstack:os,browserstack:os_version,browserstack:real_height,browserstack:real_width,css:User-Agent,css:browser,css:env-1-height,css:env-1-width,css:env-10-height,css:env-10-width,css:env-11-height,css:env-11-width,css:env-12-height,css:env-12-width,css:env-13-height,css:env-13-width,css:env-14-height,css:env-14-width,css:env-2-height,css:env-2-width,css:env-3-height,css:env-3-width,css:env-5-height,css:env-5-width,css:env-6-height,css:env-6-width,css:env-7-height,css:env-7-width,css:env-8-height,css:env-8-width,css:env-9-height,css:env-9-width,css:image-set-heif,css:javascript,css:media-1-width,css:media-10-width,css:media-2-width,css:media-3-width,css:media-4-width,css:media-5-width,css:media-6-width,css:media-7-width,css:media-8-width,css:media-9-width,css:px_per_px,css:system,css:viewport_height,css:viewport_width,js:env-1-container-height,js:env-1-container-width,js:env-10-container-height,js:env-10-container-width,js:env-11-container-height,js:env-11-container-width,js:env-12-container-height,js:env-12-container-width,js:env-13-container-height,js:env-13-container-width,js:env-14-container-height,js:env-14-container-width,js:env-2-container-height,js:env-2-container-width,js:env-3-container-height,js:env-3-container-width,js:env-4-container-height,js:env-4-container-width,js:env-5-container-height,js:env-5-container-width,js:env-6-container-height,js:env-6-container-width,js:env-7-container-height,js:env-7-container-width,js:env-8-container-height,js:env-8-container-width,js:env-9-container-height,js:env-9-container-width,css:font_arabic_typesetting,css:font_batang,css:font_calibri,css:font_franklin_gothic,css:font_levenim_mt,css:font_marlett,css:font_meiryo_ui,css:font_menlo,css:font_microsoft_uighur,css:font_ms_mincho,css:font_ms_ui_gothic,css:font_sans-serif-thin,css:font_segoe_ui_light,css:font_simhei,css:font_vrinda,css:font_vector
0a80f532-afbb-40a2-ac3a-e911b5094277,chrome,115.0,OS X,Catalina,1013,1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",,136,195,166,711,175,1100,123,6755,125,84,130,78,188,403,110,133,100,600,164,182,123,554,78,587,115,678,0,1,32,3,17,128,32,68,20,1,8,5,1,,8,12.0,136,196,166,711,176.0,1184.0,123,6755,125,84,130,78,188,403,110,134,150,300,100,600,164.0,182.0,123,554,78.0,588.0,115,678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0ad78aa6-9745-45e2-85dd-9fb2312e148c,chrome,132.0,OS X,Monterey,1011,1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",chrome,136,195,166,712,175,1100,123,6762,125,84,130,78,188,403,110,133,100,600,164,183,123,554,78,587,115,681,0,1,32,7,17,128,32,68,20,1,8,5,1,linux,8,12.0,136,196,166,712,176.0,1202.0,123,6762,125,84,130,78,188,403,110,134,150,300,100,600,164.0,183.0,123,554,78.0,588.0,115,681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0affbec7-676a-455b-8efa-bcd5f8bab191,firefox,111.0,OS X,Ventura,949,1280,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/111.0,firefox,124,196,309,472,164,1100,120,7108,124,74,130,74,180,400,104,133,100,600,156,164,126,531,56,600,111,743,0,1,32,3,17,128,32,64,20,1,14,5,1,linux,8,12.0,125,196,309,473,164.0,1264.0,120,7108,124,74,130,74,181,400,104,134,150,300,100,600,156.0,165.0,126,532,57.0,602.0,111,744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0b410033-0f39-46b6-bcec-396441ef5781,firefox,113.0,OS X,Sierra,947,1280,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:109.0) Gecko/20100101 Firefox/113.0,firefox,124,196,309,464,164,1100,116,6981,124,74,130,74,180,400,104,133,100,600,156,164,126,531,56,600,111,726,0,1,32,7,17,128,32,64,20,1,10,5,1,linux,8,12.0,125,196,309,465,164.0,1264.0,116,6981,124,74,130,74,181,400,104,134,150,300,100,600,156.0,165.0,126,532,57.0,602.0,111,726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0baf65f6-c3fa-406e-9a75-f0a229c38e23,firefox,123.0,OS X,Monterey,949,1280,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:123.0) Gecko/20100101 Firefox/123.0,firefox,124,196,309,470,164,1100,116,6973,124,74,130,74,180,400,104,133,100,600,156,164,126,531,56,600,111,737,0,1,32,7,17,128,32,64,20,1,14,5,1,linux,8,12.0,125,196,309,470,164.0,1426.0,116,6974,124,74,130,74,181,400,104,134,150,300,100,600,156.0,165.0,126,532,57.0,602.0,111,738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0bd6e52f-cb96-48ca-8863-47da2e2bdbff,chrome_android,unknown,android,14.0,868,448,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",chrome,131,224,168,784,168,1100,122,6866,125,92,131,76,164,454,106,150,100,432,163,170,54,487,69,600,114,672,0,1,32,4,17,128,32,68,40,2,8,5,3,linux,9,4.0,132,225,169,785,169.0,1428.0,122,6867,126,93,131,77,165,455,107,150,150,300,100,432,163.0,170.0,55,487,70.0,619.0,115,672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,000000000001000
0c3f0868-fa2e-4104-be79-61cc9bfa92d5,firefox,114.0,OS X,Catalina,951,1280,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0,firefox,124,196,309,455,164,1100,116,6973,124,74,130,74,180,400,104,133,100,600,156,164,126,531,56,600,111,708,0,1,32,7,17,128,32,64,20,1,10,5,1,linux,8,12.0,125,196,309,456,164.0,1264.0,116,6974,124,74,130,74,181,400,104,134,150,300,100,600,156.0,165.0,126,532,57.0,602.0,111,708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0c70e5be-13e1-4de5-b765-c2cddae8d4d9,firefox,113.0,Windows,7,980,1296,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0,firefox,136,189,311,421,166,1100,127,7026,122,74,130,74,184,400,110,133,100,600,143,165,134,531,73,598,113,636,0,1,32,15,17,128,32,68,20,1,10,5,1,linux,8,12.0,136,189,311,421,166.0,1141.0,128,7026,122,74,130,74,185,400,110,134,150,300,100,600,143.0,165.0,134,532,73.0,599.0,113,636,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,111111101110111
0d30b4a9-a11a-4be1-b688-a26f4e58962e,chrome,114.0,OS X,Mojave,1013,1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",,136,195,166,711,175,1100,123,6763,125,84,130,78,188,403,110,133,100,600,164,182,123,554,78,587,115,678,0,1,32,3,17,128,32,68,20,1,8,5,1,,8,12.0,136,196,166,711,176.0,1184.0,123,6764,125,84,130,78,188,403,110,134,150,300,100,600,164.0,182.0,123,554,78.0,588.0,115,678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0d47117e-c98d-4416-99c9-b3eec897a772,firefox,134.0,OS X,Sequoia,949,1280,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:134.0) Gecko/20100101 Firefox/134.0,firefox,124,196,309,473,164,1100,120,7108,124,74,130,74,180,400,104,133,100,600,156,164,126,531,56,600,111,737,0,1,32,7,17,128,32,64,20,1,10,5,1,linux,8,12.0,125,196,309,473,164.0,1426.0,120,7108,124,74,130,74,181,400,104,134,150,300,100,600,156.0,165.0,126,532,57.0,602.0,111,738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0d57fb7d-46ab-477b-b51a-11671313a45d,chrome_android,unknown,android,11.0,776,412,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",chrome,131,224,169,784,166,1100,120,7125,126,90,131,77,164,454,106,150,100,396,163,169,54,487,69,600,115,671,0,1,32,7,17,128,32,68,36,3,8,5,3,linux,8,4.0,132,225,169,785,166.0,1435.0,121,7125,126,90,131,77,165,455,107,150,150,300,100,396,163.0,170.0,54,488,70.0,619.0,115,671,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,000000000001000
0d78728d-d4b4-4833-8fe1-f81497e18f4c,edge,109.0,OS X,Big Sur,1011,1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 Edg/109.0.1518.49",chrome,136,195,166,711,175,1100,123,6762,125,84,130,78,188,403,110,133,100,600,164,182,123,554,78,587,115,678,,1,32,3,17,128,0,68,20,1,8,5,1,linux,8,12.0,136,196,166,711,176.0,1184.0,123,6762,125,84,130,78,188,403,110,134,150,300,100,600,164.0,182.0,123,554,78.0,588.0,115,678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0dd46172-7b6e-43ad-ab78-70f98c848809,chrome,130.0,OS X,Big Sur,1011,1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",chrome,136,195,166,712,175,1100,123,6762,125,84,130,78,188,403,110,133,100,600,164,183,123,554,78,587,115,681,0,1,32,7,17,128,32,68,20,1,8,5,1,linux,8,12.0,136,196,166,712,176.0,1202.0,123,6762,125,84,130,78,188,403,110,134,150,300,100,600,164.0,183.0,123,554,78.0,588.0,115,681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0e331f7c-20f8-44e2-be2a-2dfa0b6e4967,firefox,128.0,OS X,Sonoma,949,1280,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,firefox,124,196,309,473,164,1100,120,7108,124,74,130,74,180,400,104,133,100,600,156,164,126,531,56,600,111,737,0,1,32,7,17,128,32,64,20,1,10,5,1,linux,8,12.0,125,196,309,473,164.0,1426.0,120,7108,124,74,130,74,181,400,104,134,150,300,100,600,156.0,165.0,126,532,57.0,602.0,111,738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
0e982e87-044a-4f54-b59e-d163e42c2ada,chrome,113.0,OS X,Big Sur,1011,1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",,136,195,166,711,175,1100,123,6762,125,84,130,78,188,403,110,133,100,600,164,182,123,554,78,587,115,678,0,1,32,3,17,128,32,68,20,1,8,5,1,,8,12.0,136,196,166,711,176.0,1184.0,123,6762,125,84,130,78,188,403,110,134,150,300,100,600,164.0,182.0,123,554,78.0,588.0,115,678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000010000000
